dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-03-16,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.1254,3000000.0,3000000.10868,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
2021-03-17,3000099.288471,3000089.597786,3000065.131602,3000069.666851,3000125.374579,3000085.73972,3000094.016368,3000086.197195,3000087.046832,3000000.0,3000074.022458,3000114.364373,3000116.491573,3000118.366932,3000074.048577,3000155.292493,3000112.89734,3000063.75656,3000107.451013,3000099.6458099997,3000129.206781,3000129.741036,3000104.159701,3000082.642505,3000114.143179,3000139.542424,3000085.728178,3000074.275102,3000126.552633,3000137.796611,3000111.122489,3000067.200069,3000103.234911,3000090.891415,3000067.783125,3000045.976173,3000065.396123,3000136.303775,3000090.298928,3000088.831886,3000112.596071,3000075.90281
2021-03-18,3000132.223928,3000133.386879,3000152.94929,3000134.265801,3000192.044783,3000127.355814,3000149.23367,3000137.050064,3000346.318105,3000000.0,3000312.039503,3000200.673808,3000172.1624709996,3000217.598012,3000136.179075,3000204.114903,3000372.9871300003,3000114.42138,3000168.315489,3000158.9349819995,3000227.823711,3000174.7083440004,3000160.8099289997,3000093.571914,3000141.155892,3000228.396471,3000487.0196040003,3000146.136431,3000208.542378,3000221.508664,3000207.30683,3000106.550566,3000188.214595,3000160.884174,3000087.27985,3000088.1549589997,3000109.327246,3000184.535259,3000128.198888,3000161.517297,3000349.447482,3000348.275988
2021-03-19,3001852.4670059998,3002961.454504,3001651.368953,3001843.432521,3002274.4695409997,3002946.097943,3001652.658794,3002766.75835,3001651.762011,3000000.0,3001071.3863230003,3002438.64701,3000920.4946069997,3001886.2623779997,3001248.943544,3001696.088647,3001297.0168020003,3001982.1960650003,3001305.701863,3001298.0839579995,3001745.543106,3001682.2639820003,3001078.24541,3001386.458988,3001454.606116,3003223.401313,3002538.8550420003,3000706.882298,3002497.454504,3001176.6284769997,3001937.46424,3002149.785909,3001290.6993409996,3001859.666666,3001204.1041220003,3001245.9493389996,3001954.08375,3001307.512964,3002005.304793,3001483.129029,3001661.215868,3002083.731172
2021-03-20,3002786.453008,3003710.934603,3003692.991974,3002958.776714,3003389.5933,3005190.671932,3003922.352697,3004440.6842099996,3003310.623922,3000000.0,3001836.2701040003,3004291.338024,3001844.0047929995,3002808.8903229996,3001984.35137,3002434.444673,3002965.4961310006,3003448.014142,3003171.2262870003,3003334.9430519994,3003029.451479,3003156.4533860004,3003305.868504,3003051.3937640004,3002935.5208300003,3004889.292203,3004020.3652770002,3002563.670833,3003248.382735,3002298.3336519995,3004163.365838,3003077.928651,3002409.7645149995,3004099.753041,3002694.3586730002,3003098.3903409997,3003455.5711720004,3003350.7744919998,3003303.681483,3002587.4770850004,3003548.9533059997,3003755.064994
2021-03-21,3004822.8653769996,3005204.943215,3005004.732188,3003694.890641,3004156.8390559996,3005561.5375710004,3005976.08976,3005732.8655389994,3004624.545126,3000000.0,3002945.188262,3005766.099739,3002954.6564209997,3004865.4363749996,3003646.894881,3003354.8466149997,3003348.9508940005,3004369.107079,3003911.549653,3004251.2170989993,3004688.680666,3004641.2767400006,3004423.0696779997,3004340.3701140005,3003123.0844550002,3005998.5196069996,3005126.832597,3004033.180559,3005473.691783,3003610.5038089994,3006056.094012,3004390.3495,3004446.6679459997,3005223.006331,3003450.6496840003,3003844.0211509997,3004954.970149,3003909.7168619996,3005345.093975,3004459.7663000003,3004282.778424,3005049.635349
2021-03-22,3005191.78269,3006680.956656,3005578.006522,3005166.071455,3005455.2396679996,3006482.7056800006,3006711.11816,3006841.4002349996,3005922.290695,3000000.0,3003862.6447840002,3007611.5414170003,3004095.7325859996,3006348.0611039996,3004402.2022949997,3004287.3227569996,3004640.4959460003,3006594.4624960003,3005019.8338240003,3006113.1813639994,3005425.581027,3005746.5676450008,3005713.6134719998,3005632.7527630003,3004980.5451510004,3006735.9381829994,3006251.905931,3005503.364306,3006598.5034979996,3005272.4895219994,3007551.0475810003,3006069.805706,3005936.1834559995,3006330.6892130002,3004938.3748890003,3004951.5237459997,3005690.2077650004,3005019.393227,3006086.076225,3005389.1314430004,3005209.981009,3006339.3498959998
2021-03-23,3006478.9067559997,3007787.534547,3006494.6385959997,3006461.279512,3006373.349164,3007399.9878250007,3007443.41083,3007763.6884699995,3006658.961389,3000000.0,3004965.901527,3009083.0497830003,3004645.871436,3007833.1484819995,3005504.2752219997,3005947.63115,3005558.1403230005,3008445.4090890004,3005939.2160210004,3007402.5392989996,3006161.976007,3006302.350685001,3006266.3987589995,3006551.4386390005,3005895.5691580004,3007106.9559679995,3007360.498048,3006052.529566,3007518.3419289994,3005824.4234589995,3008471.1883360003,3006990.848353,3006484.2276329994,3007247.6764430003,3006410.622392,3006984.3376419996,3007166.4898500005,3006511.9445689996,3007003.314596,3006123.2437250004,3005944.792733,3008174.5801729998
2021-03-24,3007028.9475979996,3009261.237857,3007413.6810699995,3007014.1688369997,3007296.090903,3008681.337829001,3008911.2205229998,3009237.5177909993,3007768.642502,3000000.0,3005515.109135,3010365.4018980004,3005570.144826,3009488.6739809997,3006417.645121,3007416.3055829997,3006843.6354840007,3009545.0986920004,3006671.6470060004,3008324.5030469997,3007080.9472930003,3007775.1042690007,3007185.3765949993,3008014.8690970005,3007731.3527710005,3007477.7625639997,3008091.24598,3007335.445724,3008621.9131219992,3007477.0216729995,3009202.5488620005,3007907.386505,3008318.7223069994,3007616.5320050004,3007515.2563770004,3008085.7512079994,3008825.2467620005,3007427.3741889996,3008105.432503,3006860.6738830004,3007409.647168,3009277.666632
2021-03-25,3007580.1528169997,3010732.076554,3007962.5490869996,3008664.2054069997,3008768.239285,3010519.5716630006,3009462.856808,3010884.0088849994,3008865.57408,3000000.0,3006437.038788,3010917.1645480003,3006677.950522,3011150.7503369995,3007332.5894179996,3008699.730648,3007940.295234001,3010645.423462,3008139.9941640003,3009240.0308139995,3008918.0572160003,3008873.4379610005,3008099.6593339993,3009665.1553790006,3009747.0973110003,3008768.3021949995,3009378.184109,3009348.067865,3010272.159667999,3008577.8064539996,3010671.9169320003,3009192.232341,3009626.5729909996,3007985.1932320003,3008070.1021940005,3009001.2561149993,3009562.1844940004,3007610.0643169996,3010118.170545,3007413.9718800006,3008512.605828,3010011.668638
