dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-03-21,3004822.865377,3005204.943215,3005004.732188,3003694.890641,3004156.839056,3005561.537571,3005976.08976,3005732.865539,3004624.545126,3000000.0,3002945.188262,3005766.099739,3002954.656421,3004865.436375,3003646.894881,3003354.846615,3003348.950894,3004369.107079,3003911.549653,3004251.217099,3004688.680666,3004641.27674,3004423.069678,3004340.370114,3003123.084455,3005998.519607,3005126.832597,3004033.180559,3005473.691783,3003610.503809,3006056.094012,3004390.3495,3004446.667946,3005223.006331,3003450.649684,3003844.021151,3004954.970149,3003909.716862,3005345.093975,3004459.7663,3004282.778424,3005049.635349
2021-03-28,3011060.376314,3014402.851346,3009244.461243,3011781.223515,3012982.844785,3014546.41816,3012397.303147,3013818.370937,3012905.11386,3000000.0,3009183.0751230004,3012931.8042220003,3008694.623573,3016093.492932,3009720.9058979996,3012010.4087420003,3010880.004785,3012116.2621540003,3012171.039688,3011067.4483069996,3012948.180616,3012174.603006,3010672.806712,3013329.826939,3012687.0409489996,3011519.780759,3011945.7506440002,3013203.556407,3014142.6934419996,3011697.7952429997,3014340.43752,3011212.858488,3011828.991971,3010923.439449,3012286.478398,3012120.6810790002,3012125.529688,3009992.93151,3012316.747074,3011102.099083,3010901.349165,3014409.233705
2021-04-04,3017830.2484330004,3023002.207435,3016558.532782,3020405.9044330004,3020308.13126,3021859.092469,3019170.614393,3020592.624128,3018760.887027,3000000.0,3015041.4291880005,3020624.12258,3016755.890383,3022131.212998,3017228.0963299996,3017319.726141,3016745.6822559997,3019434.5838840003,3018757.502506,3019490.4245089996,3019167.318492,3018956.444404,3015613.610352,3019379.7778379996,3020735.4713969994,3019203.535209,3018347.7532010004,3018878.801315,3019815.4564309996,3017916.462581,3022026.444234,3018350.126416,3017499.574199,3017686.525919,3019599.557919,3018346.228775,3016879.0968930004,3016590.047891,3020922.869017,3019156.661521,3017850.604364,3020827.4334
2021-04-11,3024235.1258170004,3029765.5610080003,3024417.708076,3026267.5690790005,3025624.1333250003,3027726.4092809996,3027219.45743,3027175.916702,3027176.86643,3000000.0,3022542.3657680005,3027380.8554970003,3021339.00191,3028344.100702,3024369.5825279998,3024267.005746,3023141.4929249994,3026021.5670960005,3022596.347578,3027539.3813899998,3025750.992856,3025537.656203,3023852.45184,3024137.3510829997,3027868.0899979994,3025056.3425270002,3025304.5839460003,3025278.425266,3025697.7785279998,3022483.1177729997,3030082.506776,3025104.3190780003,3024447.02986,3022797.092288,3028216.433473,3022001.0774740004,3023647.0129810004,3023530.930388,3026045.025385,3025193.1342829997,3024817.113271,3025766.008879
2021-04-18,3028803.0446590004,3036542.420855,3031721.903859,3033937.9167980007,3033120.7162500005,3035397.0991679993,3034885.173943,3033748.948794,3033388.209889,3000000.000002,3027480.5648450004,3033956.467046,3028278.5466030003,3034915.8761819997,3031123.100233,3030291.719061,3028798.9645599993,3031865.5640210006,3028811.4990209998,3034659.8400109997,3032154.280718,3033403.5398029997,3030248.598282,3033100.1044489997,3034076.9784359992,3032743.4200750003,3030965.0718640005,3031488.923889,3032268.3087219996,3029603.6301979995,3037401.719662,3032612.9095630003,3029376.203854,3030466.642114,3034059.4285939997,3026931.1512720003,3028394.6465690006,3027929.133316,3033911.3596079997,3032500.372538,3032853.498547,3032535.015117
2021-04-25,3035374.3898130003,3044026.569734,3039208.0487340004,3040146.615214001,3037683.1596870003,3040686.907181999,3042184.8318499997,3038860.879723,3039776.0200699996,3000000.000003,3034427.5779580004,3040344.786048,3035398.345211,3040938.162952,3036416.538237,3036677.2755,3033361.796570999,3038250.646231001,3037206.361201,3040685.8616449996,3038178.12741,3039792.859783,3036455.305802,3038943.5707509997,3041377.8419769993,3038954.268081,3035890.5573930005,3037694.589766,3038843.298044,3036354.7416619994,3043799.094992,3036629.139917,3035765.221069,3037590.138039,3040084.3742449996,3033140.465148,3034417.0279800007,3033954.91173,3039931.6872229995,3038703.4540049997,3040153.843698,3039836.031038
2021-05-02,3041762.8862240002,3050969.265352,3046335.0819290006,3045441.346545001,3044811.386826,3047073.2637379994,3048576.4611989995,3044333.939239,3044705.5950499997,3000000.000003,3041186.0769,3045456.5333680003,3037955.78174,3046419.0665019997,3043171.6112969997,3043435.090636,3039031.383607999,3043915.622430001,3043782.7289859997,3046891.9615189997,3043656.7791750003,3047097.93127,3044308.534725,3043885.7917989995,3048501.6507429993,3043884.367927,3041736.1655890006,3044633.615332,3045237.007717,3043664.9743579994,3050193.3415960004,3043931.657997,3040699.9228470004,3042339.030568,3047568.717895,3040997.929166,3040444.282679001,3040713.161758,3047417.9602729995,3042901.142981,3045091.147763,3046236.873564
2021-05-09,3046690.064633,3057723.074132,3052175.6330630006,3051468.374833001,3049559.758714,3053287.7580199996,3053687.4024989996,3050904.190042,3049815.4257529997,3000000.0000039996,3046853.5516620004,3052759.81478,3042337.287944,3052259.847458,3049924.938104,3048364.5857410002,3046148.012851999,3049024.4158260007,3051266.597278,3051455.2868329994,3050225.5075370003,3054586.297468,3049055.0204120004,3048083.0432369993,3052880.627980999,3049362.140042,3047579.5171470004,3051935.524962,3051815.298406,3047862.7660059994,3055671.0746450005,3051599.400821,3046904.2725880006,3048545.916744,3052314.2905889996,3048114.890596,3047196.1741300006,3044545.469775,3053805.6522719995,3047464.1823429996,3051846.3182159998,3051895.7656099997
2021-05-16,3053040.389092,3063887.545734,3059068.9943760005,3058749.3212680006,3054836.918246,3059659.4174859994,3058943.9384739995,3056158.833996,3055274.9612539997,3000000.0000049993,3051568.1491310005,3057473.383734,3046348.435479,3057697.858044,3054296.800037,3055258.7556780004,3051579.899105999,3055555.359694001,3055439.3133819997,3057057.4201929993,3054585.7883300004,3060222.94676,3054855.617347,3052091.1607379992,3057588.144538999,3055147.630542,3051380.0400060005,3057899.346422,3056520.9968669997,3051848.7884519994,3061307.9918800006,3057187.835293,3052161.3529210007,3054351.025124,3058297.4360979996,3053752.116806,3053916.823469001,3051256.4981070003,3059610.3214869993,3052907.0268829996,3057299.1067669997,3056985.5680939998
2021-05-23,3057930.451533,3067731.996742,3065006.8479690007,3064351.4806740005,3060603.708877,3065773.399078999,3064194.4214269994,3059825.8300039996,3060176.5725899995,3000000.0000049993,3056634.4190750006,3062886.5711829998,3051242.116163,3063116.5127709997,3056916.029852,3060324.780788,3056820.325151999,3060623.510797001,3059980.96764,3061074.3077489994,3059478.3664810006,3064939.1211510003,3062016.7836370002,3057688.995117999,3063705.486319999,3060561.9015229996,3055575.3697050004,3062448.810276,3062461.0140019995,3057088.5071029994,3066721.7700450006,3061382.69285,3057928.2121370006,3057671.9855,3065283.7401479995,3060565.083477,3060730.974086001,3053701.075931,3065198.8612179994,3058497.2652339996,3063065.1977429995,3062577.3815579996
