dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-03-16,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-03-17,18.0,19.0,19.0,25.0,21.0,19.0,26.0,20.0,22.0,0.0,18.0,30.0,36.0,30.0,21.0,33.0,27.0,20.0,29.0,22.0,28.0,33.0,29.0,21.0,20.0,24.0,20.0,25.0,22.0,35.0,34.0,16.0,22.0,17.0,21.0,20.0,18.0,24.0,20.0,21.0,29.0,23.0
2021-03-18,9.0,10.0,13.0,12.0,11.0,11.0,7.0,9.0,11.0,0.0,9.0,11.0,7.0,15.0,9.0,9.0,12.0,10.0,12.0,9.0,12.0,8.0,11.0,2.0,6.0,13.0,9.0,10.0,14.0,13.0,14.0,7.0,11.0,12.0,4.0,7.0,11.0,11.0,10.0,13.0,11.0,10.0
2021-03-19,9.0,15.0,8.0,9.0,11.0,15.0,8.0,14.0,7.0,0.0,4.0,12.0,4.0,9.0,6.0,8.0,5.0,10.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,16.0,11.0,3.0,12.0,5.0,9.0,11.0,6.0,9.0,6.0,6.0,10.0,6.0,10.0,7.0,7.0,9.0
2021-03-20,5.0,4.0,11.0,6.0,6.0,12.0,12.0,9.0,9.0,0.0,4.0,10.0,5.0,5.0,4.0,4.0,9.0,8.0,10.0,11.0,7.0,8.0,12.0,9.0,8.0,9.0,8.0,10.0,4.0,6.0,12.0,5.0,6.0,12.0,8.0,10.0,8.0,11.0,7.0,6.0,10.0,9.0
2021-03-21,11.0,8.0,7.0,4.0,4.0,2.0,11.0,7.0,7.0,0.0,6.0,8.0,6.0,11.0,9.0,5.0,2.0,5.0,4.0,5.0,9.0,8.0,6.0,7.0,1.0,6.0,6.0,8.0,12.0,7.0,10.0,7.0,11.0,6.0,4.0,4.0,8.0,3.0,11.0,10.0,4.0,7.0
2021-03-22,2.0,8.0,3.0,8.0,7.0,5.0,4.0,6.0,7.0,0.0,5.0,10.0,6.0,8.0,4.0,5.0,7.0,12.0,6.0,10.0,4.0,6.0,7.0,7.0,10.0,4.0,6.0,8.0,6.0,9.0,8.0,9.0,8.0,6.0,8.0,6.0,4.0,6.0,4.0,5.0,5.0,7.0
2021-03-23,7.0,6.0,5.0,7.0,5.0,5.0,4.0,5.0,4.0,0.0,6.0,8.0,3.0,8.0,6.0,9.0,5.0,10.0,5.0,7.0,4.0,3.0,3.0,5.0,5.0,2.0,6.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,8.0,11.0,8.0,8.0,5.0,4.0,4.0,10.0
2021-03-24,3.0,8.0,5.0,3.0,5.0,7.0,8.0,8.0,6.0,0.0,3.0,7.0,5.0,9.0,5.0,8.0,7.0,6.0,4.0,5.0,5.0,8.0,5.0,8.0,10.0,2.0,4.0,7.0,6.0,9.0,4.0,5.0,10.0,2.0,6.0,6.0,9.0,5.0,6.0,4.0,8.0,6.0
2021-03-25,3.0,8.0,3.0,9.0,8.0,10.0,3.0,9.0,6.0,0.0,5.0,3.0,6.0,9.0,5.0,7.0,6.0,6.0,8.0,5.0,10.0,6.0,5.0,9.0,11.0,7.0,7.0,11.0,9.0,6.0,8.0,7.0,7.0,2.0,3.0,5.0,4.0,1.0,11.0,3.0,6.0,4.0
2021-03-26,8.0,7.0,4.0,4.0,10.0,9.0,7.0,5.0,9.0,0.0,4.0,6.0,2.0,9.0,3.0,6.0,6.0,0.0,5.0,2.0,9.0,6.0,8.0,5.0,8.0,6.0,5.0,11.0,6.0,7.0,7.0,2.0,5.0,5.0,7.0,5.0,4.0,7.0,4.0,5.0,3.0,7.0
