dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-03-21,52.0,57.0,60.0,57.0,54.0,59.0,65.0,60.0,56.0,0.0,43.0,72.0,58.0,70.0,49.0,59.0,56.0,54.0,63.0,59.0,64.0,66.0,63.0,46.0,45.0,69.0,54.0,56.0,65.0,68.0,80.0,46.0,59.0,56.0,43.0,47.0,56.0,55.0,58.0,57.0,62.0,58.0
2021-03-28,34.0,50.0,23.0,44.0,48.0,49.0,35.0,44.0,45.0,0.0,34.0,39.0,31.0,61.0,33.0,47.0,41.0,42.0,45.0,37.0,45.0,41.0,34.0,49.0,52.0,30.0,37.0,50.0,47.0,44.0,45.0,37.0,40.0,31.0,48.0,45.0,39.0,33.0,38.0,36.0,36.0,51.0
2021-04-04,37.0,47.0,40.0,47.0,40.0,40.0,37.0,37.0,32.0,0.0,32.0,42.0,44.0,33.0,41.0,29.0,32.0,40.0,36.0,46.0,34.0,37.0,27.0,33.0,44.0,42.0,35.0,31.0,31.0,34.0,42.0,39.0,31.0,37.0,40.0,34.0,26.0,36.0,47.0,44.0,38.0,35.0
2021-04-11,35.0,37.0,43.0,32.0,29.0,32.0,44.0,36.0,46.0,0.0,41.0,37.0,25.0,34.0,39.0,38.0,35.0,36.0,21.0,44.0,36.0,36.0,45.0,26.0,39.0,32.0,38.0,35.0,32.0,25.0,44.0,37.0,38.0,28.0,47.0,20.0,37.0,38.0,28.0,33.0,38.0,27.0
2021-04-18,25.0,37.0,40.0,42.0,41.0,42.0,42.0,36.0,34.0,0.0,27.0,36.0,38.0,36.0,37.0,33.0,31.0,32.0,34.0,39.0,35.0,43.0,35.0,49.0,34.0,42.0,31.0,34.0,36.0,39.0,40.0,41.0,27.0,42.0,32.0,27.0,26.0,24.0,43.0,40.0,44.0,37.0
2021-04-25,36.0,41.0,41.0,34.0,25.0,29.0,40.0,28.0,35.0,0.0,38.0,35.0,39.0,33.0,29.0,35.0,25.0,35.0,46.0,33.0,33.0,35.0,34.0,32.0,40.0,34.0,27.0,34.0,36.0,37.0,35.0,22.0,35.0,39.0,33.0,34.0,33.0,33.0,33.0,34.0,40.0,40.0
2021-05-02,35.0,38.0,39.0,29.0,39.0,35.0,35.0,30.0,27.0,0.0,37.0,28.0,14.0,30.0,37.0,37.0,31.0,31.0,36.0,34.0,30.0,40.0,43.0,27.0,39.0,27.0,32.0,38.0,35.0,40.0,35.0,40.0,27.0,26.0,41.0,43.0,33.0,37.0,41.0,23.0,27.0,35.0
2021-05-09,27.0,37.0,32.0,33.0,26.0,34.0,28.0,36.0,28.0,0.0,31.0,40.0,24.0,32.0,37.0,27.0,39.0,28.0,41.0,25.0,36.0,41.0,26.0,23.0,24.0,30.0,32.0,40.0,36.0,23.0,30.0,42.0,34.0,34.0,26.0,39.0,37.0,21.0,35.0,25.0,37.0,31.0
2021-05-16,35.0,34.0,38.0,40.0,29.0,35.0,29.0,29.0,30.0,0.0,26.0,26.0,22.0,30.0,24.0,38.0,30.0,36.0,23.0,31.0,24.0,31.0,32.0,22.0,26.0,32.0,21.0,33.0,26.0,22.0,31.0,31.0,29.0,32.0,33.0,31.0,37.0,37.0,32.0,30.0,30.0,28.0
2021-05-23,28.0,22.0,34.0,32.0,33.0,35.0,30.0,21.0,28.0,0.0,29.0,31.0,28.0,31.0,15.0,29.0,30.0,29.0,26.0,23.0,28.0,27.0,41.0,32.0,35.0,31.0,24.0,26.0,34.0,30.0,31.0,24.0,33.0,19.0,40.0,39.0,39.0,14.0,32.0,32.0,33.0,32.0
2021-05-30,32.0,25.0,29.0,36.0,27.0,29.0,17.0,33.0,32.0,0.0,24.0,26.0,28.0,27.0,27.0,41.0,28.0,22.0,27.0,27.0,23.0,31.0,30.0,27.0,37.0,26.0,30.0,28.0,21.0,22.0,38.0,29.0,27.0,33.0,27.0,28.0,25.0,31.0,44.0,30.0,32.0,26.0
2021-06-06,33.0,45.0,24.0,26.0,28.0,26.0,31.0,23.0,40.0,0.0,24.0,18.0,30.0,22.0,26.0,20.0,33.0,18.0,29.0,30.0,27.0,36.0,28.0,25.0,26.0,25.0,31.0,28.0,30.0,24.0,33.0,21.0,29.0,35.0,30.0,27.0,34.0,18.0,28.0,30.0,34.0,27.0
2021-06-13,28.0,26.0,19.0,31.0,22.0,32.0,26.0,21.0,27.0,0.0,23.0,27.0,28.0,33.0,29.0,31.0,36.0,21.0,23.0,30.0,26.0,22.0,30.0,34.0,16.0,37.0,23.0,24.0,23.0,29.0,31.0,28.0,21.0,22.0,24.0,35.0,27.0,19.0,29.0,27.0,29.0,37.0
